stock,by,R,S
South_Thompson-Coho,1998,12775,5155
South_Thompson-Coho,1999,9710,3137
South_Thompson-Coho,2000,3918,3307
South_Thompson-Coho,2001,17619,13063
South_Thompson-Coho,2002,2341,10544
South_Thompson-Coho,2003,2535,3422
South_Thompson-Coho,2004,13416,15850
South_Thompson-Coho,2005,7222,2302
South_Thompson-Coho,2006,4264,2003
South_Thompson-Coho,2007,9903,12345
South_Thompson-Coho,2008,5420,6688
South_Thompson-Coho,2009,14096,3821
South_Thompson-Coho,2010,13035,8946
South_Thompson-Coho,2011,2890,4771
South_Thompson-Coho,2012,6620,13303
South_Thompson-Coho,2013,11383,13132
South_Thompson-Coho,2014,2492,2270
South_Thompson-Coho,2015,6433,2392
South_Thompson-Coho,2016,12206,15023
