stock,by,R,S
Middle Yukon-Chinook,1985,32872.42,9142.62
Middle Yukon-Chinook,1986,46172.22,10713.83
Middle Yukon-Chinook,1987,26968.25,9833.05
Middle Yukon-Chinook,1988,30223.65,7903.55
Middle Yukon-Chinook,1989,67943.49,17291.87
Middle Yukon-Chinook,1990,30167.69,12468.7
Middle Yukon-Chinook,1991,69291.76,15934.52
Middle Yukon-Chinook,1992,18379.14,8849.26
Middle Yukon-Chinook,1993,29341.28,10071.74
Middle Yukon-Chinook,1994,18094.77,11897.01
Middle Yukon-Chinook,1995,24151.45,20299.93
Middle Yukon-Chinook,1996,30316.56,17334.03
Middle Yukon-Chinook,1997,38880.48,24186.26
Middle Yukon-Chinook,1998,32385.76,6631.46
Middle Yukon-Chinook,1999,24572.1,9695.1
Middle Yukon-Chinook,2000,24677.13,7876.71
Middle Yukon-Chinook,2001,29579.43,15726.46
Middle Yukon-Chinook,2002,14615.47,18636.84
Middle Yukon-Chinook,2003,23229.01,21259.43
Middle Yukon-Chinook,2004,11183.15,11396.61
Middle Yukon-Chinook,2005,15530.38,14815.34
Middle Yukon-Chinook,2006,10538.17,16707.83
Middle Yukon-Chinook,2007,7739.5,7216.27
Middle Yukon-Chinook,2008,10455.07,9636.87
Middle Yukon-Chinook,2009,22652.28,12497.48
Middle Yukon-Chinook,2010,14368.94,5600.05
Middle Yukon-Chinook,2011,26490.66,10344.24
Middle Yukon-Chinook,2012,23693.01,4629.89
Middle Yukon-Chinook,2013,21198.65,5063.56
Middle Yukon-Chinook,2014,20045.86,17403.15
Middle Yukon-Chinook,2015,11001.47,22941.69
Middle Yukon-Chinook,2016,6879.77,14309.25
Middle Yukon-Chinook,2017,3542.54,17657.9
Middle Yukon-Chinook,2018,4257.57,15569.54
Middle Yukon-Chinook,2019,5544.76,11494.59
Middle Yukon-Chinook,2020,5867.37,7075.47
