stock,by,R,S
Nicola-Chinook,1992,17044,5061
Nicola-Chinook,1993,11252,5028
Nicola-Chinook,1994,1951,9510
Nicola-Chinook,1995,2808,10625
Nicola-Chinook,1996,6836,17778
Nicola-Chinook,1997,7115,9612
Nicola-Chinook,1998,10502,1547
Nicola-Chinook,1999,15935,8130
Nicola-Chinook,2000,9653,8183
Nicola-Chinook,2001,4764,8984
Nicola-Chinook,2002,7685,12887
Nicola-Chinook,2003,1282,14491
Nicola-Chinook,2004,4986,10152
Nicola-Chinook,2005,1115,3248
Nicola-Chinook,2006,3518,5087
Nicola-Chinook,2007,2367,1009
Nicola-Chinook,2008,6645,4411
Nicola-Chinook,2009,4312,538
Nicola-Chinook,2010,7082,5257
Nicola-Chinook,2011,4703,2731
Nicola-Chinook,2012,1901,5702
