stock,by,R,S
Kitsumkalum-Chinook,1984,20618,9535
Kitsumkalum-Chinook,1985,16583,9047
Kitsumkalum-Chinook,1986,14839,8046
Kitsumkalum-Chinook,1987,27956,15516
Kitsumkalum-Chinook,1988,21316,15823
Kitsumkalum-Chinook,1989,13798,17782
Kitsumkalum-Chinook,1990,11708,11089
Kitsumkalum-Chinook,1991,5979,9236
Kitsumkalum-Chinook,1992,9776,10841
Kitsumkalum-Chinook,1993,11248,13148
Kitsumkalum-Chinook,1994,8022,13972
Kitsumkalum-Chinook,1995,30230,6476
Kitsumkalum-Chinook,1996,37002,8567
Kitsumkalum-Chinook,1997,13267,4647
Kitsumkalum-Chinook,1998,39921,5981
Kitsumkalum-Chinook,1999,13358,9000
Kitsumkalum-Chinook,2000,23696,10141
Kitsumkalum-Chinook,2001,7939,17830
Kitsumkalum-Chinook,2002,29055,11189
Kitsumkalum-Chinook,2003,4789,17492
Kitsumkalum-Chinook,2004,13749,19633
Kitsumkalum-Chinook,2005,8317,11340
Kitsumkalum-Chinook,2006,15396,8369
Kitsumkalum-Chinook,2007,8371,11709
Kitsumkalum-Chinook,2008,17257,6862
Kitsumkalum-Chinook,2009,9356,8307
Kitsumkalum-Chinook,2010,23726,8890
Kitsumkalum-Chinook,2011,10350,6706
Kitsumkalum-Chinook,2012,6568,6264
Kitsumkalum-Chinook,2013,4993,11311
