stock,by,R,S
Cultus-Sockeye,1948,40903,13086
Cultus-Sockeye,1949,39167,9301
Cultus-Sockeye,1950,108361,30595
Cultus-Sockeye,1951,174068,13143
Cultus-Sockeye,1952,44424,18910
Cultus-Sockeye,1953,63669,13000
Cultus-Sockeye,1954,71295,24150
Cultus-Sockeye,1955,281084,26000
Cultus-Sockeye,1956,37505,14133
Cultus-Sockeye,1957,28083,20647
Cultus-Sockeye,1958,51030,14097
Cultus-Sockeye,1959,53023,48461
Cultus-Sockeye,1960,23939,17689
Cultus-Sockeye,1961,6148,15428
Cultus-Sockeye,1962,36742,27070
Cultus-Sockeye,1963,138448,20571
Cultus-Sockeye,1964,71400,11143
Cultus-Sockeye,1965,21020,2532
Cultus-Sockeye,1966,45065,17464
Cultus-Sockeye,1967,110974,33492
Cultus-Sockeye,1968,42454,25736
Cultus-Sockeye,1969,6477,6739
Cultus-Sockeye,1970,46132,15149
Cultus-Sockeye,1971,51271,9145
Cultus-Sockeye,1972,30363,10660
Cultus-Sockeye,1973,713,858
Cultus-Sockeye,1974,30293,9814
Cultus-Sockeye,1975,129249,11478
Cultus-Sockeye,1976,6123,4450
Cultus-Sockeye,1977,1571,353
Cultus-Sockeye,1978,75245,7265
Cultus-Sockeye,1979,110516,32045
Cultus-Sockeye,1980,4825,1687
Cultus-Sockeye,1981,1544,1159
Cultus-Sockeye,1982,18839,17222
Cultus-Sockeye,1983,96326,19952
Cultus-Sockeye,1984,9406,1147
Cultus-Sockeye,1985,2431,571
Cultus-Sockeye,1986,10488,3533
Cultus-Sockeye,1987,65855,32336
Cultus-Sockeye,1988,7825,964
Cultus-Sockeye,1989,10745,568
Cultus-Sockeye,1990,25123,1870
Cultus-Sockeye,1991,17399,20191
Cultus-Sockeye,1992,1884,1205
Cultus-Sockeye,1993,945,1131
Cultus-Sockeye,1994,2448,4422
Cultus-Sockeye,1995,14793,10349
Cultus-Sockeye,1996,1515,2030
Cultus-Sockeye,1997,717,91
Cultus-Sockeye,1998,6185,2166
Cultus-Sockeye,1999,2852,12403
Cultus-Sockeye,2000,81,1227
Cultus-Sockeye,2001,225,675
Cultus-Sockeye,2002,5292,4882
Cultus-Sockeye,2003,735,1939
Cultus-Sockeye,2004,1318,52
Cultus-Sockeye,2005,926,226
Cultus-Sockeye,2006,21000,3521
Cultus-Sockeye,2007,13143,649
Cultus-Sockeye,2008,2208,360
Cultus-Sockeye,2009,2742,1441
Cultus-Sockeye,2010,20016,10297
Cultus-Sockeye,2011,1663,7211
Cultus-Sockeye,2012,4102,892
Cultus-Sockeye,2013,956,3312
Cultus-Sockeye,2014,1449,4411
Cultus-Sockeye,2015,54,1220
