stock,by,R,S
Middle_Fraser-Coho,1998,6339,4851
Middle_Fraser-Coho,1999,4430,1652
Middle_Fraser-Coho,2000,4371,3920
Middle_Fraser-Coho,2001,5454,6162
Middle_Fraser-Coho,2002,2407,4170
Middle_Fraser-Coho,2003,1986,3809
Middle_Fraser-Coho,2004,10685,4760
Middle_Fraser-Coho,2005,1859,2189
Middle_Fraser-Coho,2006,2461,1301
Middle_Fraser-Coho,2007,5538,9958
Middle_Fraser-Coho,2008,4529,1464
Middle_Fraser-Coho,2009,8631,2306
Middle_Fraser-Coho,2010,13251,4689
Middle_Fraser-Coho,2011,4140,3920
Middle_Fraser-Coho,2012,4813,7126
Middle_Fraser-Coho,2013,11980,11625
Middle_Fraser-Coho,2014,4683,3081
Middle_Fraser-Coho,2015,3418,1354
Middle_Fraser-Coho,2016,6502,13600
