stock,by,R,S
North_Thompson-Coho,1998,26750,9786
North_Thompson-Coho,1999,21640,10696
North_Thompson-Coho,2000,8388,8054
North_Thompson-Coho,2001,11382,27238
North_Thompson-Coho,2002,5279,22083
North_Thompson-Coho,2003,5683,7211
North_Thompson-Coho,2004,25972,10661
North_Thompson-Coho,2005,5290,4518
North_Thompson-Coho,2006,9110,3670
North_Thompson-Coho,2007,13832,24500
North_Thompson-Coho,2008,9594,3849
North_Thompson-Coho,2009,22891,9631
North_Thompson-Coho,2010,18379,12159
North_Thompson-Coho,2011,7267,8803
North_Thompson-Coho,2012,6079,20058
North_Thompson-Coho,2013,16517,16271
North_Thompson-Coho,2014,16423,5244
North_Thompson-Coho,2015,9569,3178
North_Thompson-Coho,2016,23527,16914
