stock,by,R,S
Northern Yukon-Chinook,1985,25153.08,1902.48
Northern Yukon-Chinook,1986,36358.15,3516.06
Northern Yukon-Chinook,1987,30693.36,3252.48
Northern Yukon-Chinook,1988,37840.85,12236.22
Northern Yukon-Chinook,1989,44905.83,6488.58
Northern Yukon-Chinook,1990,11876.19,20582.83
Northern Yukon-Chinook,1991,25529.6,9313.82
Northern Yukon-Chinook,1992,12122.63,6696.4
Northern Yukon-Chinook,1993,15507.14,12908.27
Northern Yukon-Chinook,1994,7060.15,16451.56
Northern Yukon-Chinook,1995,10003.46,9435.06
Northern Yukon-Chinook,1996,12993.02,6388.7
Northern Yukon-Chinook,1997,25052.01,8480.11
Northern Yukon-Chinook,1998,28763.34,5809.2
Northern Yukon-Chinook,1999,18155.98,4114.54
Northern Yukon-Chinook,2000,15158.44,2756.78
Northern Yukon-Chinook,2001,18595.74,7047.87
Northern Yukon-Chinook,2002,9191.14,7320.47
Northern Yukon-Chinook,2003,12392.11,16258.65
Northern Yukon-Chinook,2004,6630.48,11449.24
Northern Yukon-Chinook,2005,7832.46,9770.15
Northern Yukon-Chinook,2006,6361.63,9551.94
Northern Yukon-Chinook,2007,4294.61,5250.24
Northern Yukon-Chinook,2008,3409.13,5177.57
Northern Yukon-Chinook,2009,5513.23,6642.03
Northern Yukon-Chinook,2010,4517.66,3713.4
Northern Yukon-Chinook,2011,9539.45,4053.16
Northern Yukon-Chinook,2012,7751.42,3991.03
Northern Yukon-Chinook,2013,5226.66,2445.3
Northern Yukon-Chinook,2014,4541.62,4762.81
Northern Yukon-Chinook,2015,3084.07,5224.44
Northern Yukon-Chinook,2016,2080.54,6592.31
Northern Yukon-Chinook,2017,1365.12,5614.58
Northern Yukon-Chinook,2018,2354.95,4597.21
Northern Yukon-Chinook,2019,2538.12,2309.55
Northern Yukon-Chinook,2020,2500.51,1757.49
