stock,by,R,S
Quesnel-Sockeye,1948,618,48
Quesnel-Sockeye,1949,486378,19210
Quesnel-Sockeye,1950,2048,264
Quesnel-Sockeye,1951,413,9
Quesnel-Sockeye,1952,562,51
Quesnel-Sockeye,1953,610245,47564
Quesnel-Sockeye,1954,10692,146
Quesnel-Sockeye,1955,180,30
Quesnel-Sockeye,1956,1133,39
Quesnel-Sockeye,1957,999533,132852
Quesnel-Sockeye,1958,3412,1269
Quesnel-Sockeye,1959,165,29
Quesnel-Sockeye,1960,1475,123
Quesnel-Sockeye,1961,1240890,70000
Quesnel-Sockeye,1962,7287,566
Quesnel-Sockeye,1963,956,40
Quesnel-Sockeye,1964,2812,159
Quesnel-Sockeye,1965,1667172,105393
Quesnel-Sockeye,1966,7462,1040
Quesnel-Sockeye,1967,1761,24
Quesnel-Sockeye,1968,428,333
Quesnel-Sockeye,1969,1640832,76565
Quesnel-Sockeye,1970,20339,388
Quesnel-Sockeye,1971,747,16
Quesnel-Sockeye,1972,865,46
Quesnel-Sockeye,1973,2336434,112414
Quesnel-Sockeye,1974,31024,2587
Quesnel-Sockeye,1975,1865,105
Quesnel-Sockeye,1976,1233,209
Quesnel-Sockeye,1977,3878522,160717
Quesnel-Sockeye,1978,196724,4349
Quesnel-Sockeye,1979,6011,238
Quesnel-Sockeye,1980,2446,98
Quesnel-Sockeye,1981,9786652,332290
Quesnel-Sockeye,1982,555542,20054
Quesnel-Sockeye,1983,40412,1098
Quesnel-Sockeye,1984,6953,551
Quesnel-Sockeye,1985,12545239,692799
Quesnel-Sockeye,1986,2532784,94792
Quesnel-Sockeye,1987,176592,11238
Quesnel-Sockeye,1988,26342,4185
Quesnel-Sockeye,1989,10641495,940432
Quesnel-Sockeye,1990,3283634,259218
Quesnel-Sockeye,1991,151175,24861
Quesnel-Sockeye,1992,29214,3046
Quesnel-Sockeye,1993,6851040,1507350
Quesnel-Sockeye,1994,2477091,356251
Quesnel-Sockeye,1995,167306,116867
Quesnel-Sockeye,1996,90690,21719
Quesnel-Sockeye,1997,4692773,904914
Quesnel-Sockeye,1998,4739875,534532
Quesnel-Sockeye,1999,810586,106908
Quesnel-Sockeye,2000,53810,37163
Quesnel-Sockeye,2001,3701006,1740454
Quesnel-Sockeye,2002,640265,1312599
Quesnel-Sockeye,2003,143876,148235
Quesnel-Sockeye,2004,12695,6629
Quesnel-Sockeye,2005,209440,772179
Quesnel-Sockeye,2006,646323,90069
Quesnel-Sockeye,2007,73622,33601
Quesnel-Sockeye,2008,7570,2473
Quesnel-Sockeye,2009,318507,82781
Quesnel-Sockeye,2010,2531721,131545
Quesnel-Sockeye,2011,39948,16936
Quesnel-Sockeye,2012,2644,97
Quesnel-Sockeye,2013,150184,93727
Quesnel-Sockeye,2014,2172602,430821
Quesnel-Sockeye,2015,6341,25749
