stock,by,R,S
Nordenskiold-Chinook,1985,1234.24,3102.52
Nordenskiold-Chinook,1986,2491.46,1167.24
Nordenskiold-Chinook,1987,2760.95,595.48
Nordenskiold-Chinook,1988,5776.02,1048.93
Nordenskiold-Chinook,1989,14897.2,708.38
Nordenskiold-Chinook,1990,5125.69,583.96
Nordenskiold-Chinook,1991,8013.15,601.79
Nordenskiold-Chinook,1992,3648.34,540.84
Nordenskiold-Chinook,1993,7168.1,1099.73
Nordenskiold-Chinook,1994,3296.07,2745.93
Nordenskiold-Chinook,1995,2205.5,4226.22
Nordenskiold-Chinook,1996,1970.45,3698.54
Nordenskiold-Chinook,1997,2731.88,1204.45
Nordenskiold-Chinook,1998,4763.69,2329.58
Nordenskiold-Chinook,1999,2764.3,1934.52
Nordenskiold-Chinook,2000,4290.1,1546.37
Nordenskiold-Chinook,2001,7012.09,802.08
Nordenskiold-Chinook,2002,2400.03,1235.15
Nordenskiold-Chinook,2003,2842.54,1489.14
Nordenskiold-Chinook,2004,2524.62,2322.96
Nordenskiold-Chinook,2005,2964.6,1441.82
Nordenskiold-Chinook,2006,1074.18,3838.85
Nordenskiold-Chinook,2007,513.3,1978.73
Nordenskiold-Chinook,2008,3147.57,749.22
Nordenskiold-Chinook,2009,4479.58,1800.76
Nordenskiold-Chinook,2010,2611.91,2296.52
Nordenskiold-Chinook,2011,6173.4,694.22
Nordenskiold-Chinook,2012,3537.07,431.12
Nordenskiold-Chinook,2013,3113.57,34.41
Nordenskiold-Chinook,2014,3320.79,7186.67
Nordenskiold-Chinook,2015,1604.25,1459.29
Nordenskiold-Chinook,2016,1110.31,4857.12
Nordenskiold-Chinook,2017,1004.84,3442.63
Nordenskiold-Chinook,2018,1975.78,726.66
Nordenskiold-Chinook,2019,2546.2,2935.87
Nordenskiold-Chinook,2020,2410.77,459.67
